Key,City
Algeria/Oued Rhiou,Oued Rhiou
Algeria/Oued Sly,Oued Sly
Algeria/Oued el Abtal,Oued el Abtal
Algeria/Oued el Alleug,Oued el Alleug
Algeria/Ouled Kouadria,Ouled Kouadria
Algeria/Ouled Mimoun,Ouled Mimoun
Algeria/Ouled Moussa,Ouled Moussa
Algeria/Oum el Bouaghi,Oum el Bouaghi
Algeria/Oumache,Oumache
Algeria/Reggane,Reggane
Algeria/Reghaïa,Reghaïa
Algeria/Reguiba,Reguiba
Algeria/Relizane,Relizane
Algeria/Robbah,Robbah
Algeria/Rouachdia,Rouachdia
Algeria/Rouached,Rouached
Algeria/Rouiba,Rouiba
Algeria/Rouissat,Rouissat
Algeria/Râs el Aïoun,Râs el Aïoun
Algeria/Râs el Oued,Râs el Oued
Algeria/Salah Bey,Salah Bey
Algeria/Saoula,Saoula
Algeria/Sebdou,Sebdou
Algeria/Seddouk,Seddouk
Algeria/Sedrata,Sedrata
Algeria/Sfizef,Sfizef
Algeria/Sidi Abdelli,Sidi Abdelli
Algeria/Sidi Akkacha,Sidi Akkacha
Algeria/Sidi Aïssa,Sidi Aïssa
Algeria/Sidi Harrat Benaissa,Sidi Harrat Benaissa
Algeria/Sidi Khaled,Sidi Khaled
Algeria/Sidi Moussa,Sidi Moussa
Algeria/Sidi Mérouane,Sidi Mérouane
Algeria/Sidi Okba,Sidi Okba
Algeria/Sidi ech Chahmi,Sidi ech Chahmi
Algeria/Sig,Sig
Algeria/Skikda,Skikda
Algeria/Smala,Smala
Algeria/Sougueur,Sougueur
Algeria/Souk Ahras,Souk Ahras
Algeria/Souma,Souma
Algeria/Sour el Ghozlane,Sour el Ghozlane
Algeria/Sraoulia,Sraoulia
Algeria/Tadmaït,Tadmaït
Algeria/Tamalous,Tamalous
Algeria/Tamanrasset,Tamanrasset
Algeria/Tazoult-Lambese,Tazoult-Lambese
Algeria/Tebesbest,Tebesbest
Algeria/Telerghma,Telerghma
Algeria/Thenia,Thenia
Algeria/Theniet el Had,Theniet el Had
Algeria/Tiaret,Tiaret
Algeria/Timimoun,Timimoun
Algeria/Timizart,Timizart
Algeria/Tindouf,Tindouf
Algeria/Tipasa,Tipasa
Algeria/Tirmitine,Tirmitine
Algeria/Tissemsilt,Tissemsilt
Algeria/Tizi Gheniff,Tizi Gheniff
Algeria/Tizi Ouzou,Tizi Ouzou
Algeria/Tizi Rached,Tizi Rached
Algeria/Tizi-n-Tleta,Tizi-n-Tleta
Algeria/Tlemcen,Tlemcen
Algeria/Tolga,Tolga
Algeria/Touggourt,Touggourt
Algeria/Tébessa,Tébessa
Algeria/Zaouia Benameur,Zaouia Benameur
Algeria/Zaouia Sidi Moussa,Zaouia Sidi Moussa
Algeria/Zemoura,Zemoura
Algeria/Zeralda,Zeralda
Algeria/Zeribet el Oued,Zeribet el Oued
Algeria/el hed,el hed
American Samoa/Pago Pago,Pago Pago
Angola/Benguela,Benguela
Angola/Cabinda,Cabinda
Angola/Caconda,Caconda
Angola/Caluquembe,Caluquembe
Angola/Camabatela,Camabatela
Angola/Camacupa,Camacupa
Angola/Carvalho,Carvalho
Angola/Catabola,Catabola
Angola/Catumbela,Catumbela
Angola/Caxito,Caxito
Angola/Cazaji,Cazaji
Angola/Caála,Caála
Angola/Dundo,Dundo
Angola/Lobito,Lobito
Angola/Longonjo,Longonjo
Angola/Luanda,Luanda
Angola/Luau,Luau
Angola/Lucapa,Lucapa
Angola/Lumeje,Lumeje
Angola/Luso,Luso
Angola/Léua,Léua
Angola/Malange,Malange
Angola/Mbanza Congo,Mbanza Congo
Angola/Mocamedes,Mocamedes
Angola/N'dalatando,N'dalatando
Angola/Nova Lisboa,Nova Lisboa
Angola/Nzeto,Nzeto
Angola/Pereira De Ca,Pereira De Ca
Angola/Quibala,Quibala
Angola/Sa Da Bandeira,Sa Da Bandeira
Angola/Serpa Pinto,Serpa Pinto
Angola/Silva Porto,Silva Porto
Angola/Soyo,Soyo
Angola/Sumbe,Sumbe
Angola/Uíge,Uíge
Angola/Waco-Kungo,Waco-Kungo
Anguilla/Blowing Point Village,Blowing Point Village
Anguilla/The Valley,The Valley
Antarctica/Cape Denison,Cape Denison
Antarctica/Davis,Davis
Antarctica/Deception Island,Deception Island
Antarctica/Esperanza,Esperanza
Antarctica/General San Martin,General San Martin
Antarctica/Islas Orcadas,Islas Orcadas
Antarctica/Komsomolskaya,Komsomolskaya
Antarctica/Little America,Little America
Antarctica/Mawson Station,Mawson Station
Antarctica/McMurdo Sound,McMurdo Sound
Antarctica/Mirnyy,Mirnyy
Antarctica/Oasis,Oasis
Antarctica/Pionerskaya,Pionerskaya
Antarctica/Sanae,Sanae
Antarctica/Vostok 2,Vostok 2
Antigua and Barbuda/Aberdeen,Aberdeen
Antigua and Barbuda/All Saints,All Saints
Antigua and Barbuda/Barnes Hill,Barnes Hill
Antigua and Barbuda/Burkes,Burkes
Antigua and Barbuda/Codrington,Codrington
Antigua and Barbuda/Jennings Village,Jennings Village
Antigua and Barbuda/Jolly Harbour,Jolly Harbour
Antigua and Barbuda/Mercers Creek,Mercers Creek
Antigua and Barbuda/Mount William,Mount William
Antigua and Barbuda/Pares,Pares
Antigua and Barbuda/Parham,Parham
Antigua and Barbuda/Saint John's,Saint John's
Antigua and Barbuda/Yorks,Yorks
Argentina/28 de Noviembre,28 de Noviembre
Argentina/Abra Pampa,Abra Pampa
Argentina/Achiras,Achiras
Argentina/Adelia María,Adelia María
Argentina/Agua de Oro,Agua de Oro
Argentina/Aguilares,Aguilares
Argentina/Alba Posse,Alba Posse
Argentina/Albardón,Albardón
Argentina/Alberdi,Alberdi
Argentina/Aldea San Antonio,Aldea San Antonio
Argentina/Alderetes,Alderetes
Argentina/Alejandro Roca,Alejandro Roca
Argentina/Alejo Ledesma,Alejo Ledesma
Argentina/Alferez San Martin,Alferez San Martin
Argentina/Almafuerte,Almafuerte
Argentina/Alpachiri,Alpachiri
Argentina/Alta Gracia,Alta Gracia
Argentina/Alta Italia,Alta Italia
Argentina/Alto Río Senguer,Alto Río Senguer
Argentina/Altos de Chipión,Altos de Chipión
Argentina/Aluminé,Aluminé
Argentina/Alvear,Alvear
Argentina/Ancasti,Ancasti
Argentina/Andacollo,Andacollo
Argentina/Andalgala,Andalgala
Argentina/Anguil,Anguil
Argentina/Antofagasta de la Sierra,Antofagasta de la Sierra
Argentina/Apolinario Saravia,Apolinario Saravia
Argentina/Aranguren,Aranguren
Argentina/Arata,Arata
Argentina/Arauco,Arauco
Argentina/Arias,Arias
Argentina/Aristóbulo del Valle,Aristóbulo del Valle
Argentina/Armstrong,Armstrong
Argentina/Arroyito,Arroyito
Argentina/Arroyo Cabral,Arroyo Cabral
Argentina/Arroyo Seco,Arroyo Seco
Argentina/Arroyo del Medio,Arroyo del Medio
Argentina/Arrufó,Arrufó
Argentina/Ataliva Roca,Ataliva Roca
Argentina/Avellaneda,Avellaneda
Argentina/Aviá Terai,Aviá Terai
Argentina/Azara,Azara
Argentina/Azul,Azul
Argentina/Añatuya,Añatuya
Argentina/Añelo,Añelo
Argentina/Bahia Blanca,Bahia Blanca
Argentina/Balnearia,Balnearia
Argentina/Barrancas,Barrancas
Argentina/Barranqueras,Barranqueras
Argentina/Basail,Basail
Argentina/Bella Italia,Bella Italia
Argentina/Bella Vista,Bella Vista
Argentina/Beltrán,Beltrán
Argentina/Bernardo Larroudé,Bernardo Larroudé
Argentina/Bernardo de Irigoyen,Bernardo de Irigoyen
Argentina/Bernasconi,Bernasconi
Argentina/Berrotarán,Berrotarán
Argentina/Bolívar,Bolívar
Argentina/Bonpland,Bonpland
Argentina/Bovril,Bovril
Argentina/Brinkmann,Brinkmann
Argentina/Buchardo,Buchardo
Argentina/Buena Esperanza,Buena Esperanza
Argentina/Buenos Aires,Buenos Aires
Argentina/Burruyacú,Burruyacú
Argentina/Buta Ranquil,Buta Ranquil
Argentina/Cachí,Cachí
Argentina/Cafayate,Cafayate
Argentina/Caimancito,Caimancito
Argentina/Calchaquí,Calchaquí
Argentina/Caleta Olivia,Caleta Olivia
Argentina/Caleufú,Caleufú
Argentina/Calilegua,Calilegua
Argentina/Calingasta,Calingasta
Argentina/Camarones,Camarones
Argentina/Camilo Aldao,Camilo Aldao
Argentina/Campana,Campana
Argentina/Campo Gallo,Campo Gallo
Argentina/Campo Grande,Campo Grande
Argentina/Campo Largo,Campo Largo
Argentina/Campo Quijano,Campo Quijano
Argentina/Campo Ramón,Campo Ramón
Argentina/Campo Viera,Campo Viera
Argentina/Canals,Canals
Argentina/Candelaria,Candelaria
Argentina/Capayán,Capayán
Argentina/Capilla del Monte,Capilla del Monte
Argentina/Capioví,Capioví
Argentina/Capitán Bermúdez,Capitán Bermúdez
Argentina/Capitán Solari,Capitán Solari
Argentina/Carcarañá,Carcarañá
Argentina/Cariló,Cariló
Argentina/Carnerillo,Carnerillo
Argentina/Carrilobo,Carrilobo
Argentina/Caseros,Caseros
Argentina/Castelli,Castelli
Argentina/Castro Barros,Castro Barros
Argentina/Catamarca,Catamarca
Argentina/Cataratas del Iguazu,Cataratas del Iguazu
Argentina/Catriel,Catriel
Argentina/Catriló,Catriló
Argentina/Caucete,Caucete
Argentina/Cavanagh,Cavanagh
Argentina/Cañada de Gómez,Cañada de Gómez
Argentina/Cañada de Luque,Cañada de Luque
Argentina/Ceibas,Ceibas
Argentina/Centenario,Centenario
Argentina/Ceres,Ceres
Argentina/Cerro Azul,Cerro Azul
Argentina/Cerro Catedral,Cerro Catedral
Argentina/Cerro Corá,Cerro Corá
Argentina/Cervantes,Cervantes
Argentina/Chacabuco,Chacabuco
Argentina/Chajarí,Chajarí
Argentina/Chamical,Chamical
Argentina/Charadai,Charadai
Argentina/Charata,Charata
Argentina/Charras,Charras
Argentina/Chavarría,Chavarría
Argentina/Chazón,Chazón
Argentina/Chepes,Chepes
Argentina/Chicoana,Chicoana
Argentina/Chilecito,Chilecito
Argentina/Chimbas,Chimbas
Argentina/Chimpay,Chimpay
Argentina/Chivilcoy,Chivilcoy
Argentina/Choele Choel,Choele Choel
Argentina/Chorotis,Chorotis
Argentina/Chos Malal,Chos Malal
Argentina/Ciervo Petiso,Ciervo Petiso
Argentina/Cinco Saltos,Cinco Saltos
Argentina/Cintra,Cintra
Argentina/Cipolletti,Cipolletti
Argentina/Clodomira,Clodomira
Argentina/Clorinda,Clorinda
Argentina/Colegiales,Colegiales
Argentina/Colonia Aurora,Colonia Aurora
Argentina/Colonia Barón,Colonia Barón
Argentina/Colonia Benítez,Colonia Benítez
Argentina/Colonia Carlos Pellegrini,Colonia Carlos Pellegrini
Argentina/Colonia Dora,Colonia Dora
Argentina/Colonia Elisa,Colonia Elisa
Argentina/Colonia Elía,Colonia Elía
Argentina/Colonia La Tordilla,Colonia La Tordilla
Argentina/Colonia San Bartolomé,Colonia San Bartolomé
Argentina/Colonia Wanda,Colonia Wanda
Argentina/Colonias Unidas,Colonias Unidas
Argentina/Comallo,Comallo
Argentina/Comandante Fontana,Comandante Fontana
Argentina/Comandante Luis Piedra Buena,Comandante Luis Piedra Buena
Argentina/Comodoro Rivadavia,Comodoro Rivadavia
Argentina/Concarán,Concarán
Argentina/Concepcion del Uruguay,Concepcion del Uruguay
Argentina/Concepción,Concepción
Argentina/Concepción de la Sierra,Concepción de la Sierra
Argentina/Concepción del Bermejo,Concepción del Bermejo
Argentina/Concordia,Concordia
Argentina/Conscripto Bernardi,Conscripto Bernardi
Argentina/Contraalmirante Cordero,Contraalmirante Cordero
Argentina/Cordoba,Cordoba
Argentina/Coronda,Coronda
Argentina/Coronel Baigorria,Coronel Baigorria
Argentina/Coronel Belisle,Coronel Belisle
Argentina/Coronel Dorrego,Coronel Dorrego
Argentina/Coronel Du Graty,Coronel Du Graty
Argentina/Coronel Moldes,Coronel Moldes
Argentina/Coronel Suarez,Coronel Suarez
Argentina/Corral de Bustos,Corral de Bustos
Argentina/Corralito,Corralito
Argentina/Corrientes,Corrientes
Argentina/Corzuela,Corzuela
Argentina/Cosquín,Cosquín
Argentina/Costa Sacate,Costa Sacate
Argentina/Coté-Lai,Coté-Lai
Argentina/Crespo,Crespo
Argentina/Cristo Redentor,Cristo Redentor
Argentina/Cruz Alta,Cruz Alta
Argentina/Cruz de los Milagros,Cruz de los Milagros
Argentina/Cruz del Eje,Cruz del Eje
Argentina/Cuesta Blanca,Cuesta Blanca
Argentina/Curuzú Cuatiá,Curuzú Cuatiá
Argentina/Cutral-Có,Cutral-Có
Argentina/Córdoba - Observatorio,Córdoba - Observatorio
Argentina/Dalmacio Vélez Sársfield,Dalmacio Vélez Sársfield
Argentina/Darwin,Darwin
Argentina/Del Campillo,Del Campillo
Argentina/Despeñaderos,Despeñaderos
Argentina/Devoto,Devoto
Argentina/Diamante,Diamante
Argentina/Doblas,Doblas
Argentina/Dolavón,Dolavón
Argentina/Dolores,Dolores
Argentina/Domínguez,Domínguez
Argentina/Don Torcuato,Don Torcuato
Argentina/Dos Arroyos,Dos Arroyos
Argentina/Dos de Mayo,Dos de Mayo
Argentina/Eduardo Castex,Eduardo Castex
Argentina/El Aguilar,El Aguilar
Argentina/El Alcázar,El Alcázar
Argentina/El Arañado,El Arañado
Argentina/El Bolsón,El Bolsón
Argentina/El Calafate,El Calafate
Argentina/El Carril,El Carril
Argentina/El Chaltén,El Chaltén
Argentina/El Colorado,El Colorado
Argentina/El Galpón,El Galpón
Argentina/El Hoyo,El Hoyo
Argentina/El Huecú,El Huecú
Argentina/El Maitén,El Maitén
Argentina/El Palomar,El Palomar
Argentina/El Quebrachal,El Quebrachal
Argentina/El Rodeo,El Rodeo
Argentina/El Soberbio,El Soberbio
Argentina/El Trébol,El Trébol
Argentina/El Tío,El Tío
Argentina/Elena,Elena
Argentina/Embajador Martini,Embajador Martini
Argentina/Embalse,Embalse
Argentina/Embarcación,Embarcación
Argentina/Esperanza,Esperanza
Argentina/Esquel,Esquel
Argentina/Esquina,Esquina
Argentina/Estanislao del Campo,Estanislao del Campo
Argentina/Etruria,Etruria
Argentina/Ezeiza,Ezeiza
Argentina/Famaillá,Famaillá
Argentina/Federación,Federación
Argentina/Federal,Federal
Argentina/Felipe Yofré,Felipe Yofré
Argentina/Fiambalá,Fiambalá
Argentina/Firmat,Firmat
Argentina/Florentino Ameghino,Florentino Ameghino
Argentina/Fontana,Fontana
Argentina/Formosa,Formosa
Argentina/Fraile Pintado,Fraile Pintado
Argentina/Fray Luis A. Beltrán,Fray Luis A. Beltrán
Argentina/Fray Luis Beltrán,Fray Luis Beltrán
Argentina/Funes,Funes
Argentina/Gaimán,Gaimán
Argentina/Gancedo,Gancedo
Argentina/Garruchos,Garruchos
Argentina/Garuhapé,Garuhapé
Argentina/Garupá,Garupá
Argentina/General Alvear,General Alvear
Argentina/General Baldissera,General Baldissera
Argentina/General Cabrera,General Cabrera
Argentina/General Campos,General Campos
Argentina/General Enrique Godoy,General Enrique Godoy
Argentina/General Enrique Mosconi,General Enrique Mosconi
Argentina/General Fernández Oro,General Fernández Oro
Argentina/General Galarza,General Galarza
Argentina/General José de San Martín,General José de San Martín
Argentina/General Levalle,General Levalle
Argentina/General Manuel J. Campos,General Manuel J. Campos
Argentina/General Pico,General Pico
Argentina/General Pinedo,General Pinedo
Argentina/General Ramírez,General Ramírez
Argentina/General Roca,General Roca
Argentina/General San Martín,General San Martín
Argentina/General Vedia,General Vedia
Argentina/General Villegas,General Villegas
Argentina/Gilbert,Gilbert
Argentina/Gobernador Gregores,Gobernador Gregores
Argentina/Gobernador Gálvez,Gobernador Gálvez
Argentina/Gobernador Ingeniero Valentín Virasoro,Gobernador Ingeniero Valentín Virasoro
Argentina/Gobernador Juan E. Martínez,Gobernador Juan E. Martínez
Argentina/Gobernador Mansilla,Gobernador Mansilla
Argentina/Gobernador Roca,Gobernador Roca
Argentina/Gobernador Sola,Gobernador Sola
Argentina/Goya,Goya
Argentina/Granadero Baigorria,Granadero Baigorria
Argentina/Graneros,Graneros
Argentina/Gualeguay,Gualeguay
Argentina/Gualeguaychú,Gualeguaychú
Argentina/Guaraní,Guaraní
Argentina/Guatimozín,Guatimozín
Argentina/Guatraché,Guatraché
Argentina/Guaviraví,Guaviraví
Argentina/Gálvez,Gálvez
Argentina/Hasenkamp,Hasenkamp
Argentina/Herlitzka,Herlitzka
Argentina/Hermoso Campo,Hermoso Campo
Argentina/Hernando,Hernando
Argentina/Hernández,Hernández
Argentina/Herradura,Herradura
Argentina/Herrera,Herrera
